,question,answer
0,"baik, kalau kamu bagaimana?",aku baik-baik saja juga. makasih udah nanyain balik.
1,aku baik-baik saja juga. makasih udah nanyain balik.,"ga masalah, bagaimana hari ini?"
2,"ga masalah, bagaimana hari ini?",hari ini berjalan dengan baik. kalo kamu gimana?
3,hari ini berjalan dengan baik. kalo kamu gimana?,hariku juga baik hari ini. aku sedang di kampus sekarang.
4,hariku juga baik hari ini. aku sedang di kampus sekarang.,kamu kuliah di mana?
5,kamu kuliah di mana?,kuliah di ui
6,kuliah di ui,bagaimana di sana?
7,bagaimana di sana?,tidak apa-apa. ini kampus yang sangat besar.
8,tidak apa-apa. ini kampus yang sangat besar.,semoga sukses dengan sekolahnya.
9,semoga sukses dengan sekolahnya.,makasihh
10,gimana kabarnya?,baikk. kamu sendiri gimana?
11,baikk. kamu sendiri gimana?,"baik juga, tengkyu udah nanya."
12,"baik juga, tengkyu udah nanya.",jadi gimana hidup akhir-akhir ini?
13,jadi gimana hidup akhir-akhir ini?,akhir akhir ini hidup baik. kalo kamu sendiri gimana?
14,akhir akhir ini hidup baik. kalo kamu sendiri gimana?,sebenarnya aku lagi di kampus sekarang.
15,sebenarnya aku lagi di kampus sekarang.,kamu kuliah mana?
16,kamu kuliah mana?,sekarang kuliah di ui
17,sekarang kuliah di ui,gimana ui?
18,gimana ui?,"oke sih, aku dapet banyak temen di sana"
19,"oke sih, aku dapet banyak temen di sana","oh, bagus deh"
20,"oh, bagus deh",oke
21,Apa kabarmu hari ini?,"alhamdulillah baik, lu sendiri gimana?"
22,"alhamdulillah baik, lu sendiri gimana?","baik juga, tengkyu udah nanya."
23,"baik juga, tengkyu udah nanya.",ada apa btw?
24,ada apa btw?,"kurang baik sih, kalo lu gimana?"
25,"kurang baik sih, kalo lu gimana?",gua baru mulai kuliah sih
26,gua baru mulai kuliah sih,lu kuliah di mana?
27,lu kuliah di mana?,di ui
28,di ui,gimana ui sejauh ini?
29,gimana ui sejauh ini?,"asik sih, kelasnya enak nyaman gitu"
30,"asik sih, kelasnya enak nyaman gitu",oke goodluck di sana
31,cuaca lagi kureng banget hari ini,"iya, kayaknya mau ujan bentar lagi"
32,"iya, kayaknya mau ujan bentar lagi","tapi ini kan musim panas, harusnya sih ga ujan ya"
33,"tapi ini kan musim panas, harusnya sih ga ujan ya",aneh sih ya
34,aneh sih ya,"ya, apalagi di luar suhunya 32 derajat"
35,"ya, apalagi di luar suhunya 32 derajat","ya, aneh sih kalo panas panas terus ujan"
36,"ya, aneh sih kalo panas panas terus ujan","ya, itu kayaknya bakal terjadi"
37,"ya, itu kayaknya bakal terjadi",aku sih pengennya ga panas tiap hari
38,aku sih pengennya ga panas tiap hari,"samaa, pengennya tiap hari musim dingin gitu"
39,"samaa, pengennya tiap hari musim dingin gitu","aku juga suka musim dingin, tapi terkadang cuacanya terlalu dingin."
40,"aku juga suka musim dingin, tapi terkadang cuacanya terlalu dingin.",aku lebih memilih kedinginan daripada kepanasan.
41,aku lebih memilih kedinginan daripada kepanasan.,samaa 
42,cuaca rada mendung ya,"benerr, kayaknya bakal ujan bentar lagi"
43,"benerr, kayaknya bakal ujan bentar lagi",panas panas gini harusnya sih ga ujan ya
44,panas panas gini harusnya sih ga ujan ya,kayaknya ngga deh
45,kayaknya ngga deh,"tapi di luar suhunya 32 derajat, aneh sih"
46,"tapi di luar suhunya 32 derajat, aneh sih","ya makanya, aneh kalau ujan, ini lagi panas banget"
47,"ya makanya, aneh kalau ujan, ini lagi panas banget",iya bener banget
